x,y
522,813
523,813
524,813
525,813
526,813
527,813
528,814
529,814
530,814
531,814
532,813
533,813
534,813
535,813
536,813
537,813
538,813
539,813
540,813
541,813
542,813
543,813
544,812
545,812
546,812
547,812
548,812
549,812
550,812
551,812
552,812
553,812
554,812
555,812
556,812
557,812
558,812
559,812
560,812
561,812
562,812
563,812
564,812
565,812
566,812
567,812
568,812
569,812
570,812
571,812
572,812
573,812
574,812
575,812
576,812
577,812
578,812
579,812
580,812
581,812
582,812
583,811
584,811
585,811
586,811
587,811
588,811
589,811
590,811
591,810
592,810
593,810
594,809
595,809
596,809
597,809
598,809
599,808
600,808
601,808
602,808
603,808
604,808
605,808
606,808
607,808
608,808
609,808
610,808
611,808
612,808
613,808
614,808
615,808
616,808
617,808
618,808
619,808
620,808
621,808
622,808
623,809
624,810
625,811
626,811
627,811
628,811
629,811
630,811
631,811
632,811
633,811
634,810
635,810
636,810
637,810
638,810
639,810
640,810
641,810
642,810
643,810
644,810
645,810
646,810
647,810
648,810
649,810
650,810
651,810
652,810
653,811
654,812
655,812
656,812
657,812
658,812
659,812
660,811
661,811
662,811
663,811
664,811
665,811
666,811
667,811
668,811
669,811
670,811
671,811
672,811
673,811
674,811
675,810
676,810
677,811
678,812
679,813
680,813
681,812
682,811
683,810
684,810
685,809
686,809
687,809
688,809
689,809
690,809
691,809
692,809
693,809
694,808
695,807
696,807
697,807
698,807
699,807
700,807
701,807
702,807
703,807
704,807
705,808
706,808
707,808
708,808
709,808
710,808
711,809
712,810
713,811
714,812
715,813
716,814
717,815
718,816
719,817
720,818
721,819
722,819
723,820
724,820
725,820
726,821
727,821
728,821
729,821
730,821
731,821
732,821
733,821
734,821
735,820
736,820
737,819
738,818
739,817
740,817
741,816
742,816
743,816
744,815
745,814
746,813
747,812
748,812
749,812
750,812
751,812
752,811
753,811
754,811
755,812
756,812
757,812
758,811
759,810
760,809
761,808
762,807
763,806
764,805
765,804
766,803
767,802
768,801
769,801
770,801
771,802
772,802
773,802
774,802
775,802
776,801
777,801
778,801
779,801
780,801
781,801
782,801
783,801
784,801
785,800
786,799
787,799
788,798
789,798
790,797
791,796
792,795
793,794
794,793
795,792
796,791
797,790
798,789
799,788
800,787
801,787
802,787
803,787
804,786
805,785
806,784
807,783
808,782
809,781
810,780
811,779
812,778
813,777
814,776
815,775
816,774
817,773
818,772
819,771
820,770
821,769
822,768
823,767
824,767
825,767
826,767
827,767
828,767
829,766
830,765
831,764
832,763
833,762
834,761
835,761
836,761
837,761
838,761
839,761
840,762
841,762
842,763
843,762
844,761
845,760
846,760
847,760
848,760
849,760
850,760
851,760
852,760
853,760
854,760
855,760
856,760
857,760
858,760
859,760
860,760
861,760
862,760
863,760
864,761
865,761
866,761
867,761
868,761
869,761
870,761
871,761
872,761
873,760
874,760
875,760
876,760
877,760
878,760
879,761
880,761
881,761
882,761
883,761
884,761
885,761
886,761
887,761
888,761
889,761
890,761
891,761
892,761
893,761
894,761
895,761
896,761
897,762
898,763
899,764
900,765
901,766
902,767
903,768
904,769
905,769
906,770
907,771
908,772
909,773
910,774
911,775
912,775
913,775
914,776
915,776
916,776
917,776
918,775
919,775
920,775
921,775
922,774
923,774
924,774
925,774
926,773
927,772
928,771
929,770
930,769
931,769
932,769
933,769
934,769
935,769
936,769
937,769
938,769
939,769
940,769
941,769
942,769
